Comment,User,Date,Post,results
"возможна-то возможна, да увидеть никак нельзя — тебе даже между нейтральными атомами ван дер ваальс на малых масштабах не даст гравитацию измерить, а уж тем более отклонения от ньютоновской. разве что на ультрахолодных нейтронах пробовать, но их еще поди получи, а потом удержи. или ченить такое: https://inspirehep.net/literature/1779367",2485575,1591692214,6798,negative
байбурин и макартни в одной песне = любимое произведение из летнешкольного репертуара,196718115,1589980996,6783,neautral
усы топ!,4470242,1589990151,6783,positive
"интересно, есть ли тут связь с тем, что произошло с усами м. г.",-49558,1590002496,6783,neautral
"[club49558|клш], нет)",41626696,1590043972,6783,neautral
❤❤❤,17656236,1590058808,6783,neautral
"антон, очень хорошие слова перед статьей! бегу читать саму статью",176438353,1589688189,6779,positive
"антон + родные места — как хорошо! спасибо за статью. (и да, сосновый бор - отличное направление).",3247896,1589743971,6779,positive
"кажется, из всех смотрящих в будущее только михаил георгиевич что-то подозревал...",354175470,1589515618,6767,neautral
даёшь летнюю школу в декабре :),4251,1589521168,6767,positive
#клшживи,354146642,1589523863,6767,neautral
"бродит вирус по лету, 
ждём его чуть дыша, 
чтоб назло всем запретам, 
вновь попасть в клш!:)",11146323,1589535255,6767,positive
"но и при конце света,
 не исчезнет
не исчезнет клш!",11751940,1589560305,6767,neautral
"[id18238544|анастасия], как всегда мудрая наталья григорьевна макуха находится в здесь и сейчас😉",205506841,1589770965,6767,neautral
"[id11751940|алёна], а что ты готова для этого сделать?",308071,1590089538,6767,negative
"в том-то и пичалька, что для германии...",308071,1590149445,6767,positive
возможно,354175470,1588771485,6754,neautral
"класс!
а если никита думает, что бы ему сыграть - ""нуу, что-нибудь лирическое"" ❤",167151147,1588772051,6754,neautral
"то, чего так не хватало взаперти! спасибо. ещё б аудио-версию, чтоб сохранить в плейлист =)",530321139,1588772634,6754,negative
спасибо за поддержание духа на карантине!пойте ещё!,135302612,1588777533,6754,positive
"ваня, ты прекрасно поёшь!",2537639,1588786380,6754,positive
"[id167151147|polina], никите для начала надо прикупить гитару, вопрос, что бы сыграть, пока не стоит",7094449,1589034046,6754,neautral
"[id7094449|никита], могу сыграть, а ты спой :d",167151147,1589036541,6754,neautral
"[id167151147|polina], я купил гитару!",7094449,1592985307,6754,neautral
"[id7094449|никита], тогда я жду ❤️",167151147,1592985340,6754,negative
"уж не хотите ли вы, граждане, сказать, что все это ваше образование выродилось до картошки и нафиг больше никому не нужно? осторожнее с мемами, их можно очень по-разному интерпретировать.",4251,1588255725,6742,neautral
"это чистая правда. мне вот кажется, что этот мем про то, как тяжко в сложившейся ситуации справляться с технической стороной образования. сама не всегда понимаю, как не включить случайно маску картошки, хотя я не преподаю, а учусь :)",2537639,1588259310,6742,negative
"[id2537639|dasha], я видимо из другого поколения и далеко не всегда мемы воспринимаю так, как авторы/target group их ожидало понимать. данный мем (с моей колокольни) выглядит просто по-идиотски, и картошка к первым шагам в расширении круга аудитории образования не имеет никакого отношения.",4251,1588259823,6742,negative
"мне жаль, я даже не подумала об этом, но вижу, как мем можно так понять. 
вообще с мемами такая история, что они часто выглядят по-идиотски, это же реально сводится к семиотике; к тому, кто из нас как этот язык символов интерпретирует. есть много интересных социолингвистических работ на этот счёт...

кстати могу предложить другим участникам группы поразмышлять, какие именно механизмы отвечают за столь различную интерпретацию одной и той же картинки :)",2537639,1588260045,6742,neautral
"[id2537639|dasha], да пожалуйста, размышлять всегда хорошо.",4251,1588260123,6742,positive
"паша, мы ценим образование и, очевидно, сами занимаемся им. как в самой летней школе, так и в этом паблике, что можно заметить, если, например, полистать выходящие здесь статьи. современные технологии, которые позволяют не прерывать образовательный процесс и в сегодняшних непростых условиях, мы, разумеется, тоже ценим. при этом нам не кажется, что ирония на тему специфических особенностей дистанционного формата обучения не является уместной. конечно, про многие вещи сегодня совершенно точно не следует шутить, но маски в зуме, как нам кажется, к таким не относятся. всё-таки юмор — это то, чего многим из нас сейчас особенно не хватает. даже если это и не кажется очевидным.",-49558,1588269376,6742,negative
"[club49558|клш], из моего комментария должно быть очевидно, что я качество этой конкретной шутки ставлю под сомнение вне зависимости от того, что и как мне будут говорить о том, что ""ваше мнение очень важно для нас"" и ""мы профессиональные профессионалы, потому что делаем свою работу профессионально"".",4251,1588270482,6742,negative
"очень жизненный мем, посмеялся в голос!",62833273,1588276464,6742,neautral
это мы поняли :),-49558,1588279776,6742,neautral
"я бы вообще не распознал картошку. или здесь, как обычно, ссылка на нечто в широких кругах общеизвестное?",174764459,1588930351,6742,negative
"финал, разумеется, грандиозный.",1097762,1587916526,6737,neautral
"да что толку, до него толком все равно никто не дочитывает.",2485575,1587920013,6737,neautral
"привет, антон! как твои дела? )",1097762,1587923780,6737,positive
"[id2485575|антон], стабильно читаю до конца с задержкой во времени и стабильно восторгаюсь мастерству автора!",37481125,1589509709,6737,neautral
"провести бы трансляцию с песнями🤔
вроде такое где то видел, значит можно)",459150864,1587651441,6729,negative
очень душевно😊,2660227,1587656430,6729,neautral
🤗,52793528,1587667080,6729,neautral
😍😍😍,135302612,1587707427,6729,neautral
"как свежий ветер...
спасибо алёна",344201778,1587828345,6729,positive
"какая же это отдушина, особенно в такое тревожное время. спасибо большое, алёна, за ту самую трепетную атмосферу) кусочек уютной клш по ту сторону экрана)",322851760,1587844505,6729,negative
спасибо за кусочек лета и теплую атмосферу!пойте ещё!:),135302612,1588777342,6729,positive
женя 💛,196718115,1587548308,6724,neautral
🦆,18238544,1587549468,6724,neautral
❤❤❤,17656236,1587317534,6715,neautral
"ну ты даёшь, смоляр! советовать школьнику читать обзорные статьи в chem. rev. – это сильно. 😒",265475996,1587387959,6715,neautral
лучший,130722839,1587394669,6715,positive
"[id265475996|sergei], охота пуще неволи!",52251395,1587567064,6715,neautral
"я обычно интервью не смотрю, но подробностями про сигму 2020 вынудили. надеюсь не кликбейт",354175470,1586785481,6702,neautral
где про сигму?,354175470,1586785936,6702,neautral
"[id354175470|никита], и все таки это был кликбейт",354146642,1586786097,6702,neautral
"товарищ монтажер, а можно, пожалуйста, в следующий раз мишу погромче, а музыку потише? ❤",100608619,1586786818,6702,neautral
"[id354175470|никита],",186150973,1586787132,6702,neautral
уступаем лучшую букву греческого алфавита в юбилейном сезоне,133154202,1586788499,6702,neautral
"[id133154202|лиса], любого алфавита*",354175470,1587361033,6702,neautral
научный статус психоанализа: youtu.be/xosk7msd49e,46047658,1586110215,6694,negative
"я послушал первые 25 минут этой лекции. пример с таблицей менделеева — это как раз примерно то, почему был придуман критерий поппера. странно его не упоминать и говорить, что вот, мол, как же так, смотрите, какие у химии большие проблемы, если о ней судить с некоторых позиций раннего позитивизма. позиции эти, кстати, не лишены смысла. разумеется, отвергать их полностью не следует. как не следует и ими ограничиваться.

сравнение с математикой (за первые 25 минут) нахожу откровенно неуместным. математика оперирует с очень чётко определёнными объектами и не претендует на то, что «существование математической функции может быть доказано при помощи эксперимента» или что «линейное уравнение действительно существует». эта наука устроена иначе.",1097762,1586113455,6694,negative
"я желаю утверждать, что у этого текста грандиозный финал.",1097762,1585859867,6691,neautral
"ничего не знаю, иногда каак залипну на неё минут на 30... главное, чтобы эо и радиусы были",81697268,1585665257,6685,neautral
"кстати, с химией в домашних условиях тоже лучше не впадать в крайности )",-49558,1585691207,6685,neautral
"да, а то насмотришься на таблицу менделеева, потом глаза болят, руки трясутся и бессонница",81697268,1585695614,6685,positive
китайская таблица менделеева - топ. русская тоже ничего.,539145752,1585716288,6685,negative
бог биохима,135302612,1585315097,6678,neautral
😍😍😍,135302612,1585315115,6678,neautral
отвал бошки,159016734,1585331477,6678,neautral
"скажите, пожалуйста, а какого числа придёт сообщение?",448203874,1583942485,6657,neautral
"[id448203874|maria], во второй половине марта. вполне возможно, что уже на следующей неделе!",-49558,1584014318,6657,positive
"а я могу сейчас подтвердить, а если случатся неожиданные обстоятельства не поехать?",409647249,1582987121,6651,negative
"[id409647249|денис], можешь, но лучше чтобы все возможные обстоятельства были исключены.",165558195,1582987787,6651,positive
"denis, да, но если обстоятельства случатся — сразу нам сообщи!",-49558,1582987868,6651,neautral
"[id409647249|денис],  тебе все можно, тебя везде ждут",222292399,1583055370,6651,negative
"статья великолепная! спасибо большое всем, кто к ней причастен:)",152984095,1582637126,6639,positive
очень круто!,4470242,1582638751,6639,positive
"ого! очень важная публикация, спасибо большое!",52793528,1582643017,6639,positive
"благодарю за статью!💖🙏 приятно вспомнить свой первый сезон в клш 89!👍👍👍 я была в группе биофизиков под чутким руководством анатолия дементьева! мы разработали совершенно крутую концепцию о клетке-лидере!!! только насколько я помню, мы себя, да и нас в школе называли как то более академически - департаментом🤗 но это мое восприятие как школьницы только что закончившей 7 класс! было очень круто! впрочем, как все последующие 4 года, что я ездила в клш в самых разных ролях. 👍👍👍",205506841,1582707438,6639,positive
с бельчонком по информатике совпадает :с,284036238,1581918943,6618,neautral
по биологии тоже,299120079,1581929929,6618,positive
и по обществознанию,192153566,1581943052,6618,neautral
"к сожалению, совсем избежать пересечений оказалось невозможно. хорошие новости заключаются в том, что мы дождёмся участников олимпиады по обществознанию и быстро отсобеседуем тех, кто идёт на олимпиады по биологии и информатике.",-49558,1581957439,6618,neautral
"катя, смотри ответ лизе )",-49558,1581957607,6618,negative
"[id299120079|вера], и вы тоже смотрите ответ лизе )",-49558,1581957706,6618,negative
🙂,299120079,1581989575,6618,neautral
"о, знакомые лица.",526085930,1582032848,6618,neautral
"а подскажите пожалуйста, те кто не писал никаких специальных контрольных или тестов, может учавствовать ???",276845428,1582039934,6618,neautral
да!,-49558,1582048285,6618,neautral
"здравствуйте. скажите, пожалуйста,  собеседование начнётся одновременно для всех в 11.30 или можно приехать,  зарегистрироваться, потом уехать по неотложным делам и подъехать на собеседование в 12-12.10?",461356172,1582364251,6618,neautral
"собеседование начнётся в 11:30, но раз уж важные дела, то приезжайте после них.",-49558,1582565367,6618,neautral
"[club49558|клш], хорошо. спасибо!",461356172,1582606042,6618,positive
а что вообще из себя представляет собеседование?,209363202,1582696256,6618,negative
"школьники расходятся по направлениям, получают несколько задач, решают их, после чего обсуждают свои решения с сотрудниками клш (или с теми, кто помогает проводить собеседование). в принципе, оценивается не столько сам ответ, сколько то, как школьник к нему пришёл. примерно так.",-49558,1582717047,6618,negative
"здраствуйте, а для тех кто обитает в москве где можно пройти собеседование? просто насколько я помню в прошлом году оно было...",512790536,1582900740,6618,neautral
"[id512790536|masha], у нас про это отдельный пост от 22 февраля.",-49558,1582924070,6618,negative
"спасибо) 
я просто немного слепая👀",512790536,1582924325,6618,positive
"подскажите, пожалуйста,  будет ли добор какой-нибудь, мы поздно узнали о вас ((",99052795,1583292517,6618,neautral
"[id99052795|елена], к сожалению, в этом году отборочные мероприятия закончились. ждём в следующем году.",-49558,1583320619,6618,neautral
"[club49558|клш], 😢",99052795,1583684601,6618,neautral
"у инфузорий нет полов. только типы спаривания. различия в том, что пол определяется на хромосомном уровне, а типы спаривания - на уровне отдельных генов.",308071,1581685487,6613,neautral
"ещё немного фактов про личную жизнь инфузорий. некоторые типы спаривания характерны тем, что при спаривании убивают своего партнёра. этакие одноклеточные маньяки.",308071,1581685589,6613,positive
"[id308071|артём], да, разница безусловно есть, всё же они одноклеточные)) но тем не менее, в литературе это исторически тоже называют ""полом"", хотя с точки зрения термина и есть вопросы! спасибо за пояснение :)",17656236,1581699480,6613,neautral
"ботать физику под ""дубинушку""👌👍
ашнюрики из города долгопрудный ставят лайк)",353835640,1581404444,6608,positive
прекрасная заставка!),213742349,1581409975,6608,positive
"будем откровенны, исходно это была заставка для бот-стола по машинному обучению.",-49558,1581432155,6608,neautral
"ах, какая же прелесть! и сотрудники чудесные, и школьники удивительные!😍",224782713,1580641441,6596,neautral
"вот жиза, всё ради балла,оао ыаы",347023448,1580391569,6589,negative
"[id50218215|витя], ты ли это?:)",52793528,1579966690,6582,neautral
а ведь похож.,1097762,1580039316,6582,neautral
лучшая рубрика на свете,152984095,1579785954,6577,positive
"есть вопрос к [id21030599|ira] : можно ли вернуться в летнюю школу школьником, если свой аттестат ты давно получил?",152984095,1579786010,6577,neautral
"[id152984095|дарья], на счёт летней школы не знаю, но письмо из хогвартса жду до сих пор",21030599,1579786168,6577,negative
ира вообще крутая!!!,295443109,1580260821,6577,positive
в гарри поттере всё по-взрослому!⚡,14015087,1580391847,6577,positive
"а почему вместо сна? 🤔 
может вместо прокрастинации? принять нужное лекарство и вперёд!",135302612,1579608735,6570,negative
а вот о лекарствах речь пойдёт в ближайший четверг ),-49558,1579616904,6570,neautral
почему так мало прокрастинации?,72513972,1579619759,6570,neautral
не реалистично),72513972,1579619775,6570,neautral
"реалистичность — это, объективно, не наш конёк.",-49558,1579653607,6570,neautral
а подтверждение о приеме задание не отправляется?,41677149,1580204464,6570,neautral
отправляется!,-49558,1580391826,6570,neautral
"извините, но моя прокрастинация долша до того, что я отправил в 00:00) моя работу будут рассматривать?😔",238343407,1580490490,6570,positive
"тимур, не переживай, всю ночь и утро мы принимаем вступ. задания :)",-49558,1580525459,6570,neautral
"должен всё-таки заметить, что серфить в темноте — не полностью безопасно ) а с планктоном — ещё и не всегда комфортно, потому что он кусачий )",1097762,1579442047,6566,negative
надеюсь порося не попали в руки артёму,21678148,1579442137,6566,negative
очень круто!,52793528,1577825923,6557,positive
вааау,159016734,1577865135,6557,neautral
лучшее поздравление!,295443109,1578073750,6557,neautral
"но если попросите, игры с экономикой тоже принесу!;)",5298268,1576687336,6539,positive
"я очень люблю, когда ты играешь с экономикой )",1097762,1576692030,6539,positive
а кому можно приходит? как стать участником программы?,107949444,1576859897,6539,positive
"[id107949444|юлия], на бот-стол обычно приходят школьники 8-11 классов, но мы ждём всех, кто хочет:)",11024764,1576890395,6539,neautral
"[id11024764|елизавета], спасибо))",107949444,1576895842,6539,positive
"а ещё очень рекомендуем всем, кто хочет активно решать химию, взять свой калькулятор!;)",135302612,1576318157,6528,positive
победителей в студию!,206441247,1576559578,6528,neautral
у победителей последние приготовления.,-49558,1576592305,6528,positive
а где посмотреть результаты?,484381200,1576634019,6528,negative
"соня, ты можешь написать нам сообщение — и мы пришлём тебе твои результаты.",-49558,1576646985,6528,neautral
"здорово, когда большая часть команды возвращается в летнюю школу, а тем более через два года:)

маленькая сигма 2017❤
спасибо ане за память!)",37481125,1576117587,6522,neautral
"спасибо! в комментариях пишите любые вопросы по теме, готова ответить с большим удовольствием)",11751940,1575825365,6518,positive
"так это тебе спасибо, а не кому-то — нашу бдительность не усыпить! )",-49558,1575868585,6518,neautral
подводка хороша :),7094449,1574932321,6506,positive
нам очень приятна такая оценка! в особенности от сооснователя дуэта «сообразим на троих» :),-49558,1574953521,6506,neautral
"школьник, тебе сюда",133154202,1575194953,6503,neautral
готов решить 10 задач за ссылку на такие стикеры,354175470,1574343562,6489,neautral
"[id354175470|никита], +++++",347023448,1574343947,6489,neautral
"немного ору в голос
и бегаю по потолку (=",319989,1574344475,6489,neautral
это прекрасно!!!!,159484303,1574345814,6489,positive
"[id354175470|никита], какие задачи надо решать и кому присылать решение?",512790536,1574351974,6489,neautral
"эт про меня, пора бы поботать, но чот хальп",81697268,1574439570,6489,neautral
"первая фраза бесценна)
*пост тоже хорош^_^",17656236,1575819600,6487,positive
"просто вау!
мне кажется, очень подходящий формат рассказывать историю клш",165031126,1573936152,6484,neautral
наконец-то :'3,167151147,1573537036,6471,neautral
"что, кто идёт?))",167151147,1573541793,6471,negative
а где это происходит,423026871,1573545379,6471,negative
что с собой брать?,213780275,1573547944,6471,positive
"[id423026871|анастасия], борисова 5, написано же",213780275,1573547964,6471,negative
"[id213780275|эдик], ой. спасибо",423026871,1573548050,6471,positive
вот куда ярослава пропадает каждое лето,281866340,1573561677,6471,neautral
"[id213780275|эдик], только ручку и тетрадь.",-49558,1573570170,6471,neautral
где можно взять ответы на задания которые были на бот- столе (инфа),178628429,1574134701,6471,positive
"расписание:
11:00 – 12:00 регистрация участников
12:00 – 15:00 кнт
15:00 – 16:00 подведение итогов
16:00 – 16:20 награждение",-49558,1573278609,6468,neautral
5 пункт...?),176911993,1573136256,6463,negative
"[id176911993|анжелика], суть этого пункта известна одному хармсу. нам остаётся только довериться архивным документам, в которых так и было написано.",-49558,1573147282,6463,neautral
благодарю за ответ),176911993,1573188743,6463,positive
супер как интересно!,157067539,1572846362,6454,positive
хорошая статья и главное - верная по сути.,50205449,1572939679,6454,positive
"а когда будет тема ""от амфоры до анафемы""? позовете?",196238,1572509681,6442,neautral
где моё общество?(,167151147,1572538733,6442,negative
"[id167151147|полина], пока можем предложить только общество людей толковых. (но нон знает о твоём запросе.)",-49558,1572541747,6442,positive
"сложно сказать, вова, сложно. мы сосредоточены на нен и ненн.",-49558,1572542462,6442,neautral
мне нужна работа над собой!!!!!! буду ждать,167151147,1572543156,6442,negative
"а расскажите, пожалуйста, историю возникновения выражения ""бот-стол"";)",135302612,1572611651,6442,negative
"сначала о важном: мы склоняемся к тому, что по канону должно быть «бот-стол», а не «бот-стол». по сути же вопроса, вероятно, что-то может сказать [id319989|с. в. ламзин].",-49558,1572628200,6442,neautral
"[club49558|клш], спасибо 😊",135302612,1572630820,6442,positive
"скажите пожалуйста, а зондеров на бот-стол пускают?",539145752,1572685022,6442,negative
"[id539145752|михаил], конечно, ждём всех!",-49558,1572700458,6442,positive
почему кёрлинг?,337719465,1572353924,6438,negative
"стёпа, спасибо за твой вопрос! отдел иллюстраций просил передать, что при работе над этим постом вдохновлялся стильными историями в летнешкольном инстаграме )",-49558,1572365494,6438,positive
можно ли до 8 класса?,153146982,1572967143,6438,neautral
"yulia, можно попытаться, на общих основаниях. скидку на возраст мы делать не будем.",-49558,1573005005,6438,neautral
"[club49558|клш], спасибо, то есть если на общих основаниях ребёнок пройдёт, то вы возьмёте? отказа из-за возраста не будет?",153146982,1573005087,6438,neautral
возьмём. не будет :),-49558,1573089529,6438,neautral
"мне всё очень понравилось до момента, когда ближе к концу пошли бонус-треки с альбома st. anger )",1097762,1572220265,6433,positive
жиза 😂,347023448,1571751261,6422,neautral
простая ночь) где школьники учатся дополнительно),427247219,1571756683,6422,neautral
😂,466028583,1571765658,6422,neautral
😅😂,192153566,1571843391,6422,neautral
"вы б так простыни текста лайкали, которые я для вас пишу, как мемосики лайкаете.",2485575,1571930901,6422,negative
"[id2485575|антон], так мы лайкаем",347023448,1571932149,6422,neautral
"вопрос ире:
почему именно детский патанотом?",546947811,1571641966,6415,negative
"хочу вспомнить дроби и другую фигню, которая пишется на доске, но очень нужна в современном мире для аналитики всяких данных, куда идти? вова, 33 годика.",196238,1571315967,6396,neautral
"[id196238|владимир], по-видимому, вам в нью-йорк:)",11024764,1571316836,6396,positive
"ну правда, это не шутки, какой учебник алгебры чтобы полезно и не сложно? и с понятным разбором решений.... а в нй уже все занято....",196238,1571321101,6396,neautral
"ну правда, это не шутки, какой учебник алгебры чтобы полезно и не сложно? и с понятным разбором решений.... а в нй уже все занято....",196238,1571321107,6396,neautral
а что это такое вообще?,206441247,1571328226,6396,negative
"в тред приглашаются коллеги [id319989|сергей ламзин], [id2368015|аля прилепова], [id500180|вика луковская] и [id308071|артём благодатский] (на всякий случай).",-49558,1571329592,6396,negative
бот-стол? ну это как шином-онтаж только по математике,196238,1571376847,6396,neautral
"серега, что почитать?",196238,1571376906,6396,positive
"[id196238|владимир], https://kursky-solovey2.livejournal.com/348702.html",7534732,1571380962,6396,neautral
сколько людей может прийти? нужно как-то регистрироваться кроме этого голосования?,476355126,1571446480,6396,neautral
"[id476355126|ангелина], могут прийти все! предварительно не нужно регистрироваться.",11024764,1571448546,6396,neautral
реквестую очередной математический стол!,290569351,1571497607,6396,neautral
хочу в следующий раз физику),427247219,1571502069,6396,positive
с радостью приеду),4332740,1571242502,6392,neautral
